Date,Open,High,Low,Close
"Feb 21, 2017","1,079.28","1,117.25","1,076.93","1,115.30"
"Feb 20, 2017","1,048.69","1,080.49","1,041.69","1,079.98"
"Feb 19, 2017","1,054.76","1,056.81","1,043.46","1,047.87"
"Feb 18, 2017","1,049.21","1,061.10","1,046.96","1,054.42"
"Feb 17, 2017","1,026.12","1,053.17","1,025.64","1,046.21"
"Feb 16, 2017","1,007.65","1,033.37","1,007.65","1,027.44"
"Feb 15, 2017","1,006.21","1,008.84","1,001.58","1,007.48"
"Feb 14, 2017",991.73,"1,011.51",986.47,"1,004.55"
"Feb 13, 2017",998.89,"1,002.10",976.00,990.64
"Feb 12, 2017","1,003.52","1,004.76",996.92,999.18
"Feb 11, 2017",988.90,"1,009.29",982.83,"1,004.45"
"Feb 10, 2017",995.63,998.91,946.69,988.67
"Feb 9, 2017","1,064.70","1,088.99",953.34,994.38
"Feb 8, 2017","1,062.32","1,078.97","1,037.49","1,063.07"
"Feb 7, 2017","1,040.14","1,061.93","1,040.14","1,061.35"
"Feb 6, 2017","1,028.40","1,044.64","1,028.16","1,038.15"
"Feb 5, 2017","1,043.52","1,043.63","1,022.37","1,027.34"
"Feb 4, 2017","1,031.33","1,045.90","1,015.16","1,042.90"
"Feb 3, 2017","1,011.46","1,033.87","1,008.79","1,029.91"
"Feb 2, 2017",990.00,"1,013.52",983.22,"1,011.80"
"Feb 1, 2017",970.94,989.11,970.74,989.02
"Jan 31, 2017",920.96,972.02,920.96,970.40
"Jan 30, 2017",920.15,923.05,919.47,920.38
"Jan 29, 2017",922.07,923.42,919.15,919.50
"Jan 28, 2017",919.81,923.91,919.81,921.59
"Jan 27, 2017",918.36,923.22,915.85,919.75
"Jan 26, 2017",902.40,919.33,902.22,917.59
"Jan 25, 2017",891.92,903.25,891.69,901.54
"Jan 24, 2017",910.68,924.15,892.29,892.69
"Jan 23, 2017",925.50,928.27,916.74,921.01
"Jan 22, 2017",922.21,937.53,897.56,924.67
"Jan 21, 2017",895.55,927.37,895.53,921.79
"Jan 20, 2017",898.17,899.40,887.01,895.03
"Jan 19, 2017",888.34,904.61,884.34,899.07
"Jan 18, 2017",909.37,917.50,858.30,886.62
"Jan 17, 2017",830.95,910.56,830.80,907.94
"Jan 16, 2017",821.78,834.53,820.27,831.53
"Jan 15, 2017",818.14,823.31,812.87,821.80
"Jan 14, 2017",825.14,835.09,812.46,818.41
"Jan 13, 2017",803.74,829.00,780.00,823.98
"Jan 12, 2017",775.18,826.25,755.76,804.83
"Jan 11, 2017",908.11,919.45,762.77,777.76
"Jan 10, 2017",902.44,914.87,901.06,907.68
"Jan 9, 2017",913.24,913.69,879.81,902.83
"Jan 8, 2017",908.17,942.72,887.25,911.20
"Jan 7, 2017",903.49,908.59,823.56,908.59
"Jan 6, 2017","1,014.24","1,046.81",883.94,902.20
"Jan 5, 2017","1,156.73","1,191.10",910.42,"1,013.38"
"Jan 4, 2017","1,044.40","1,159.42","1,044.40","1,154.73"
"Jan 3, 2017","1,021.60","1,044.08","1,021.60","1,043.84"
"Jan 2, 2017",998.62,"1,031.39",996.70,"1,021.75"
"Jan 1, 2017",963.66,"1,003.08",958.70,998.33
"Dec 31, 2016",960.63,963.74,947.24,963.74
"Dec 30, 2016",972.53,972.53,934.83,961.24
"Dec 29, 2016",975.13,979.40,954.50,973.50
"Dec 28, 2016",934.83,975.92,934.83,975.92
"Dec 27, 2016",908.35,940.05,904.26,933.20
"Dec 26, 2016",896.91,913.18,896.90,907.61
"Dec 25, 2016",899.65,899.65,862.42,896.18
"Dec 24, 2016",922.18,923.48,886.34,898.82
"Dec 23, 2016",864.89,925.12,864.68,921.98
"Dec 22, 2016",834.18,875.78,834.15,864.54
"Dec 21, 2016",800.64,834.28,799.41,834.28
"Dec 20, 2016",792.25,801.34,791.50,800.88
"Dec 19, 2016",790.69,793.61,790.32,792.71
"Dec 18, 2016",791.01,794.74,788.03,790.53
"Dec 17, 2016",785.17,792.51,784.86,790.83
"Dec 16, 2016",778.96,785.03,778.96,784.91
"Dec 15, 2016",780.07,781.43,777.80,778.09
"Dec 14, 2016",780.01,782.03,776.84,781.48
"Dec 13, 2016",780.65,788.46,777.96,780.56
"Dec 12, 2016",770.04,781.92,770.04,780.09
"Dec 11, 2016",774.75,774.80,765.41,769.73
"Dec 10, 2016",773.02,777.09,772.91,774.65
"Dec 9, 2016",769.94,774.53,769.65,772.79
"Dec 8, 2016",768.08,774.70,765.95,770.81
"Dec 7, 2016",764.21,771.54,759.75,768.13
"Dec 6, 2016",758.72,765.62,758.72,764.22
"Dec 5, 2016",773.39,773.47,751.71,758.70
"Dec 4, 2016",771.64,773.87,768.16,773.87
"Dec 3, 2016",778.25,778.25,764.86,771.16
"Dec 2, 2016",757.54,781.30,757.54,777.94
"Dec 1, 2016",746.05,758.28,746.05,756.77
"Nov 30, 2016",736.28,747.93,736.27,745.69
"Nov 29, 2016",736.33,737.47,734.56,735.60
"Nov 28, 2016",732.48,738.01,732.48,735.81
"Nov 27, 2016",735.44,739.02,731.09,732.03
"Nov 26, 2016",741.51,742.21,729.63,735.38
"Nov 25, 2016",740.44,741.65,734.59,741.65
"Nov 24, 2016",744.62,746.83,733.49,740.29
"Nov 23, 2016",751.74,752.25,738.92,744.59
"Nov 22, 2016",739.64,753.87,736.53,751.35
"Nov 21, 2016",731.27,741.72,730.51,739.25
